Rank,Channel Name,Subscribers,Total Views,Total Videos,Category,Channel Type,Views Rank,Views Last 30 Days,Min Monthly Earnings,Max Monthly Earnings,Min Yearly Earnings,Max Yearly Earnings,Year,Month,Day,Month no.,Created Date
97,Maria Clara & Jp,37000000,24188861917,744,People & Blogs,Entertainment,75,251449000,62900,1000000,754300,12100000,2015,Sep,6,9,06-Sep-15
102,Youtube,36300000,3010784935,744,News & Politics,Entertainment,2860,21103000,5300,84400,63300,1000000,1970,Jan,1,1,01-Jan-70
122,Sssniperwolf,33700000,23492684419,3366,Gaming,Entertainment,83,210955000,52700,843800,632900,10100000,2013,Jan,20,1,20-Jan-13
125,Rajshri,33500000,14864294792,3741,Music,Entertainment,222,272255000,68100,1100000,816800,13100000,2006,Mar,24,3,24-Mar-06
130,Ricis Official,33300000,5994136760,2736,People & Blogs,Entertainment,1043,157101000,39300,628400,471300,7500000,2016,Jan,15,1,15-Jan-16
139,Rezendeevil,32100000,13061739758,11882,Gaming,Entertainment,287,44505000,11100,178000,133500,2100000,2012,Feb,12,2,12-Feb-12
156,Diana And Roma Esp,30700000,12355992466,578,Other,Entertainment,313,102998000,25700,412000,309000,4900000,2016,Nov,27,11,27-Nov-16
157,Round2Hell,30700000,3145161634,67,Comedy,Entertainment,2687,31822000,8000,127300,95500,1500000,2016,Oct,20,10,20-Oct-16
159,Aboflah,30500000,4521573939,641,Gaming,Entertainment,1573,157908000,39500,631600,473700,7600000,2016,Jul,28,7,28-Jul-16
199,Nick Jr.,27300000,22440611155,5438,Film & Animation,Entertainment,100,42546000,10600,170200,127600,2000000,2012,Sep,27,9,27-Sep-12
204,Brent Rivera,27000000,6570935979,554,Comedy,Entertainment,909,144453000,36100,577800,433400,6900000,2009,Aug,1,8,01-Aug-09
206,Beast Reacts,26700000,4388047013,241,People & Blogs,Entertainment,1632,276187000,69000,1100000,828600,13300000,2016,Apr,24,4,24-Apr-16
215,D Billions,26200000,31977463002,775,Other,Entertainment,33,487076000,121800,1900000,1500000,23400000,2019,Jul,27,7,27-Jul-19
222,Indosiar,25900000,11372071889,65286,Music,Entertainment,358,230183000,57500,920700,690500,11000000,2013,Sep,23,9,23-Sep-13
229,Zhc,25500000,2726917087,5,Film & Animation,Entertainment,4042995,20,0.01,0.08,0.06,0.96,2006,Jan,24,1,24-Jan-06
231,Rans Entertainment,25400000,6430853035,3716,People & Blogs,Entertainment,942,58487000,14600,233900,175500,2800000,2015,Dec,27,12,27-Dec-15
240,Watchmojo.Com,25100000,16357064198,24837,Music,Entertainment,180,49009000,12300,196000,147000,2400000,2007,Jan,25,1,25-Jan-07
258,Alejo Igoa,24100000,10999000479,802,Comedy,Entertainment,376,401512000,100400,1600000,1200000,19300000,2014,Jan,17,1,17-Jan-14
262,Diana And Roma Ara,24100000,11041261296,590,Other,Entertainment,379,66884000,16700,267500,200700,3200000,2019,Feb,1,2,01-Feb-19
266,Preston,24000000,8279004442,4009,Gaming,Entertainment,621,151697000,37900,606800,455100,7300000,2012,Jul,4,7,04-Jul-12
269,Diana And Roma En,23900000,7213499085,511,People & Blogs,Entertainment,787,177769000,44400,711100,533300,8500000,2011,Dec,22,12,22-Dec-11
275,Mister Max,23700000,15510153803,1099,People & Blogs,Entertainment,208,32817000,8200,131300,98400,1600000,2014,Sep,22,9,22-Sep-14
283,Miss Katy,23500000,14696994366,1044,People & Blogs,Entertainment,235,59629000,14900,238500,178900,2900000,2014,Nov,17,11,17-Nov-14
285,Valentina Pontes Ofc,23400000,7926899136,1291,Film & Animation,Entertainment,667,28285000,7100,113100,84900,1400000,2014,Apr,14,4,14-Apr-14
306,Sun Tv,22600000,20847038152,60964,People & Blogs,Entertainment,109,982238000,245600,3900000,2900000,47100000,2016,Feb,26,2,26-Feb-16
307,Heroindori,22600000,9223534599,495,Comedy,Entertainment,508,399152000,99800,1600000,1200000,19200000,2020,Jun,29,6,29-Jun-20
309,Mmoshaya,22600000,17507060680,1189,People & Blogs,Entertainment,156,73829000,18500,295300,221500,3500000,2010,Dec,11,12,11-Dec-10
313,Vlad And Niki Arabic,22500000,10613701948,526,Other,Entertainment,399,65066000,16300,260300,195200,3100000,2018,Nov,9,11,09-Nov-18
320,Vlad And Niki Esp,22000000,8594440895,515,Other,Entertainment,591,183871000,46000,735500,551600,8800000,2018,Oct,11,10,11-Oct-18
322,Ben Azelart,21900000,4454917643,301,Film & Animation,Entertainment,1620,184946000,46200,739800,554800,8900000,2014,Jun,5,6,05-Jun-14
327,National Geographic,21800000,5614621131,10162,Science & Technology,Entertainment,1158,45812000,11500,183200,137400,2200000,2006,May,7,5,07-May-06
334,Dudu E Carol,21600000,9597894786,2942,Autos & Vehicles,Entertainment,481,193174000,48300,772700,579500,9300000,2013,Mar,2,3,02-Mar-13
338,Tlnovelas,21500000,15013096899,158,News & Politics,Entertainment,1936958,15459,4,62,46,742,2014,Jan,2,1,02-Jan-14
352,Baim Paula,21100000,4526271677,2325,People & Blogs,Entertainment,1583,26974000,6700,107900,80900,1300000,2016,Jun,4,6,04-Jun-16
356,Vlad And Niki Idn,21000000,9789121606,498,Other,Entertainment,464,133362000,33300,533400,400100,6400000,2018,Nov,9,11,09-Nov-18
371,Bizarrap,20600000,7657171980,83,Comedy,Entertainment,711,193176000,48300,772700,579500,9300000,2017,Jan,15,1,15-Jan-17
386,Noor Stars,20200000,2764127969,693,Comedy,Entertainment,3238,15556000,3900,62200,46700,746700,2014,Apr,24,4,24-Apr-14
396,Pencilmation,20100000,11317309935,1481,Film & Animation,Entertainment,366,14862000,3700,59400,44600,713400,2007,Feb,1,2,01-Feb-07
408,Crafty Panda,19800000,5759442450,760,People & Blogs,Entertainment,1120,6137000,1500,24500,18400,294600,2017,Dec,3,12,03-Dec-17
416,Sony Aath,19600000,13930021471,18661,Shows,Entertainment,257,274212000,68600,1100000,822600,13200000,2013,Nov,13,11,13-Nov-13
418,Dafuq!?Boom!,19600000,7906181776,214,Film & Animation,Entertainment,656,2304000000,576000,9200000,6900000,110600000,2016,Jun,6,6,06-Jun-16
426,Vsauce,19300000,2897907132,462,Science & Technology,Entertainment,3024,69614000,17400,278500,208800,3300000,2007,Jul,30,7,30-Jul-07
436,Wow Kidz Action,19000000,8281724393,1525,Film & Animation,Entertainment,618,105706000,26400,422800,317100,5100000,2017,Nov,8,11,08-Nov-17
440,Himan,18900000,2855519150,375,People & Blogs,Entertainment,3094,24563000,6100,98300,73700,1200000,2014,Oct,16,10,16-Oct-14
